Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,-9999,age_exact,position,starts,minutes,squad
Gabriel Gudmundsson,MFDF,se Sweden,27,1.eng Leeds United,1999,4,4,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,d5d22a58,27.0,MF,4,330,Sweden
Marc Guéhi,DF,eng England,25,1.eng Manchester City,2000,8,7,663,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,d0706b27,25.0,DF,7,663,England
Idrissa Gueye,MF,sn Senegal,36,1.eng Everton,1989,4,4,361,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,72c812f3,36.0,MF,4,361,Senegal
Pape Gueye,MF,sn Senegal,27,1.es Villarreal,1999,4,3,234,2.6,2,1,3,2,0,0,1,0,0.77,0.38,1.15,0.77,1.15,7155e3e1,27.0,MF,3,234,Senegal
Bruno Guimarães,MF,br Brazil,28,1.eng Newcastle,1997,5,5,416,4.6,0,4,4,0,0,1,0,0,0.0,0.87,0.87,0.0,0.87,82518f62,28.0,MF,5,416,Brazil
Arda Güler,MF,tr Türkiye,21,1.es Real Madrid,2005,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33,3741ca58,21.0,MF,3,270,Türkiye
Angus Gunn,GK,sct Scotland,30,1.eng Nottingham,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e082af5b,30.0,GK,3,270,Scotland
Malo Gusto,DF,fr France,23,1.eng Chelsea,2003,5,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d56b9520,23.0,DF,1,121,France
Brian Gutiérrez,MF,mx Mexico,22,1.mx Guadalajara,2003,4,2,198,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,d88f31db,22.0,MF,2,198,Mexico
Jorge Gutiérrez,DF,pa Panama,27,1.ve Dep. La Guaira,1998,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,56f6d192,27.0,DF,1,87,Panama
Joško Gvardiol,DF,hr Croatia,24,1.eng Manchester City,2002,4,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5ad50391,24.0,DF,2,139,Croatia
Viktor Gyökeres,FW,se Sweden,28,1.eng Arsenal,1998,4,4,360,4.0,1,2,3,1,0,0,1,0,0.25,0.5,0.75,0.25,0.75,4d5a9185,28.0,FW,4,360,Sweden
Aziz Gʻaniyev,MF,uz Uzbekistan,28,,1998,2,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0c492054,28.0,MF,1,122,Uzbekistan
Erling Haaland,FW,no Norway,25,1.eng Manchester City,2000,5,5,465,5.2,7,0,7,7,0,0,0,0,1.35,0.0,1.35,1.35,1.35,1f44ac21,25.0,FW,5,465,Norway
Ihsan Haddad,DF,jo Jordan,32,1.jo Al-Hussein SC,1994,3,3,260,2.9,0,1,1,0,0,0,0,0,0.0,0.35,0.35,0.0,0.35,85660a5d,32.0,DF,3,260,Jordan
Anis Hadj Moussa,MF,dz Algeria,24,1.nl Feyenoord,2002,3,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7bc7eef2,24.0,MF,1,98,Algeria
Jaouen Hadjam,DF,dz Algeria,23,1.ch Young Boys,2003,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,576817b7,23.0,DF,1,109,Algeria
Karim Hafez,DF,eg Egypt,30,1.eg Pyramids FC,1996,3,2,172,1.9,0,1,1,0,0,0,0,0,0.0,0.52,0.52,0.0,0.52,d2debf23,30.0,DF,2,172,Egypt
Ehsan Hajsafi,DF,ir IR Iran,36,1.ir Sepahan,1990,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,b060e3b8,36.0,DF,1,91,IR Iran
Achraf Hakimi,DF,ma Morocco,27,1.fr PSG,1998,6,6,570,6.3,1,2,3,1,0,0,1,0,0.16,0.32,0.47,0.16,0.47,e42d61c7,27.0,DF,6,570,Morocco
Redouane Halhal,DF,ma Morocco,23,1.be Mechelen,2003,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,e17c2cec,23.0,DF,2,180,Morocco
Ali Al Hamadi,FW,iq Iraq,24,2.eng Ipswich Town,2002,3,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8450467d,24.0,FW,2,180,Iraq
Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1.tn Espérance Tunis,1995,3,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2a5e8f82,30.0,DF,2,202,Tunisia
Odiljon Hamrobekov,MF,uz Uzbekistan,30,1.ir Tractor,1996,2,1,77,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,03f63e77,30.0,MF,1,77,Uzbekistan
Lee Han-beom,DF,kr Korea Republic,23,1.dk Midtjylland,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,071f2dd3,23.0,DF,3,270,Korea Republic
Grant Hanley,DF,sct Scotland,34,1.sct Hibernian,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e9254eec,34.0,DF,2,180,Scotland
Sontje Hansen,FW,cw Curaçao,24,2.eng Middlesbrough,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,70bad10b,24.0,FW,1,45,Curaçao
Mohamed Hany,DF,eg Egypt,30,1.eg Al Ahly,1996,5,5,480,5.3,0,1,1,0,0,0,0,0,0.0,0.19,0.19,0.0,0.19,9bcf1513,30.0,DF,5,480,Egypt
Moteb Al-Harbi,DF,sa Saudi Arabia,26,1.sa Al-Hilal,2000,3,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1d88554c,26.0,DF,2,188,Saudi Arabia
Saleh Hardani,DF,ir IR Iran,27,1.ir Esteghlal,1998,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3a9b682b,27.0,DF,1,90,IR Iran
Carlos Harvey,MF,pa Panama,26,1.us Minnesota Utd,2000,3,3,267,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3f18600c,26.0,MF,3,267,Panama
Akam Hashim,DF,iq Iraq,27,1.iq Al-Zawra'a SC,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f8416e89,27.0,DF,3,270,Iraq
Haissem Hassan,MF,eg Egypt,24,1.es Oviedo,2002,2,1,126,1.4,0,1,1,0,0,0,2,0,0.0,0.71,0.71,0.0,0.71,e0979e74,24.0,MF,1,126,Egypt
Jalal Hassan,GK,iq Iraq,35,1.iq Al-Zawra'a SC,1991,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,87351c2e,35.0,GK,1,135,Iraq
Kai Havertz,FW,de Germany,27,1.eng Arsenal,1999,4,4,353,3.9,3,0,3,2,1,1,1,0,0.76,0.0,0.76,0.51,0.51,fed7cb61,27.0,FW,4,353,Germany
Hassan Al-Haydos,MF,qa Qatar,35,1.qa Al Sadd,1990,2,1,57,0.6,1,0,1,1,0,0,0,0,1.58,0.0,1.58,1.58,1.58,41bd6c64,35.0,MF,1,57,Qatar
Jan Paul van Hecke,DF,nl Netherlands,26,1.eng Brighton,2000,4,4,390,4.3,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,4fd08daa,26.0,DF,4,390,Netherlands
Hwang Hee-chan,FW,kr Korea Republic,30,1.eng Wolves,1996,3,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,169fd162,30.0,FW,1,108,Korea Republic
Torbjørn Heggem,DF,no Norway,27,1.it Bologna,1999,5,5,443,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,834fea76,27.0,DF,5,443,Norway
Dean Henderson,GK,eng England,29,1.eng Crystal Palace,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e5a76dfe,29.0,GK,1,90,England
Jack Hendry,DF,sct Scotland,31,1.sa Al-Ettifaq,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ffed43e3,31.0,DF,3,270,Scotland
Theo Hernández,DF,fr France,28,1.sa Al-Hilal,1997,5,3,257,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d4c9725f,28.0,DF,3,257,France
Lucas Herrington,DF,au Australia,18,1.us Colorado Rapids,2007,2,2,210,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6f808c85,18.0,DF,2,210,Australia
Son Heung-min,FW,kr Korea Republic,33,1.us LAFC,1992,3,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,92e7e919,33.0,FW,2,169,Korea Republic
Aaron Hickey,DF,sct Scotland,24,1.eng Brentford,2002,1,1,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1780bb4a,24.0,DF,1,74,Scotland
Isak Hien,DF,se Sweden,27,1.it Atalanta,1999,3,3,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,12806697,27.0,DF,3,216,Sweden
Piero Hincapié,DF,ec Ecuador,24,1.eng Arsenal,2002,4,4,339,3.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0c7a48f8,24.0,DF,4,339,Ecuador
Adam Hložek,FW,cz Czechia,23,1.de Hoffenheim,2002,3,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5521f419,23.0,FW,2,156,Czechia
Tomáš Holeš,DF,cz Czechia,33,1.cz Slavia Prague,1993,2,2,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e03c2d97,33.0,DF,2,153,Czechia
Robin Hranáč,DF,cz Czechia,26,1.de Hoffenheim,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,95d5aea2,26.0,DF,3,270,Czechia
Ayman Hussein,FW,iq Iraq,30,1.iq Al-Karma,1996,2,2,115,1.3,1,0,1,1,0,0,0,0,0.78,0.0,0.78,0.78,0.78,8b574de7,30.0,FW,2,115,Iraq
Oh Hyeon-gyu,FW,kr Korea Republic,25,1.tr Beşiktaş,2001,3,1,129,1.4,1,0,1,1,0,0,0,0,0.7,0.0,0.7,0.7,0.7,d25422fb,25.0,FW,1,129,Korea Republic
Roger Ibanez,DF,br Brazil,27,1.sa Al-Ahli,1998,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,82efe6fa,27.0,DF,1,45,Brazil
Yasser Ibrahim,DF,eg Egypt,33,1.eg Al Ahly,1993,5,4,467,5.2,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19,0b89ad1b,33.0,DF,4,467,Egypt
Hwang In-beom,MF,kr Korea Republic,29,1.nl Feyenoord,1996,3,3,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,92fa5d28,29.0,MF,3,263,Korea Republic
Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,1.tr Trabzonspor,2006,4,2,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,62709ee4,20.0,MF,2,208,Côte d'Ivoire
Zidane Iqbal,MF,iq Iraq,23,1.nl Utrecht,2003,3,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6fa3c28e,23.0,MF,2,188,Iraq
Nestory Irankunda,FWMF,au Australia,20,2.eng Watford,2006,4,3,261,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34,4ac730b2,20.0,FW,3,261,Australia
Jackson Irvine,MF,au Australia,33,1.de St Pauli,1993,4,2,223,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4637747c,33.0,MF,2,223,Australia
Alexander Isak,FW,se Sweden,26,1.eng Liverpool,1999,4,4,357,4.0,1,3,4,1,0,0,0,0,0.25,0.76,1.01,0.25,1.01,8e92be30,26.0,FW,4,357,Sweden
Wilson Isidor,FW,ht Haiti,25,1.eng Sunderland,2000,3,2,186,2.1,1,0,1,1,0,0,0,0,0.48,0.0,0.48,0.48,0.48,a671316d,25.0,FW,2,186,Haiti
Zaid Ismail,MF,iq Iraq,24,1.iq Al-Talaba,2002,2,2,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c65effaa,24.0,MF,2,117,Iraq
Ko Itakura,DF,jp Japan,29,1.nl Ajax,1997,2,2,128,1.4,0,1,1,0,0,0,0,0,0.0,0.7,0.7,0.0,0.7,97d545ae,29.0,DF,2,128,Japan
Jacob Italiano,DF,au Australia,24,1.at Grazer AK,2001,2,2,163,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2eb0ee9a,24.0,DF,2,163,Australia
Hiroki Ito,DF,jp Japan,27,1.de Bayern Munich,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,204dded0,27.0,DF,4,360,Japan
Junya Itō,MF,jp Japan,33,1.be Genk,1993,4,2,216,2.4,1,0,1,1,0,0,0,0,0.42,0.0,0.42,0.42,0.42,dbd3a428,33.0,MF,2,216,Japan
Nicolas Jackson,FW,sn Senegal,24,1.de Bayern Munich,2001,4,2,234,2.6,0,1,1,0,0,0,0,0,0.0,0.38,0.38,0.0,0.38,9c36ed83,24.0,FW,2,234,Senegal
Lee Jae-sung,FW,kr Korea Republic,33,1.de Mainz 05,1992,2,2,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34b0387f,33.0,FW,2,117,Korea Republic
Ismail Jakobs,DF,sn Senegal,26,1.tr Galatasaray,1999,3,2,219,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a0415710,26.0,DF,2,219,Senegal
Reece James,DF,eng England,26,1.eng Chelsea,1999,5,3,319,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1265a93a,26.0,DF,3,319,England
Luca Jaquez,DF,ch Switzerland,23,1.de Stuttgart,2003,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,a400da8e,23.0,DF,1,78,Switzerland
Ardon Jashari,MF,ch Switzerland,23,1.it Milan,2002,3,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,889588db,23.0,MF,1,72,Switzerland
Ali Jasim,MF,iq Iraq,22,1.sa Al-Najma,2004,2,2,129,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1a927a6f,22.0,MF,2,129,Iraq
Danley Jean-Jacques,MF,ht Haiti,26,1.us Philadelphia,2000,3,3,259,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,59fcbd6d,26.0,MF,3,259,Haiti
Raúl Jiménez,FW,mx Mexico,35,1.eng Fulham,1991,4,4,317,3.5,3,0,3,2,1,1,0,0,0.85,0.0,0.85,0.57,0.57,b561db50,35.0,FW,4,317,Mexico
Alistair Johnston,DF,ca Canada,27,1.sct Celtic,1998,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4fb17e20,27.0,DF,5,450,Canada
Frenkie de Jong,MF,nl Netherlands,29,1.es Barcelona,1997,4,4,328,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1bacc518,29.0,MF,4,328,Netherlands
Lenny Joseph,FW,ht Haiti,25,1.hu Ferencváros,2000,3,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d1828392,25.0,FW,1,117,Haiti
Edmilson Junior,MFFW,qa Qatar,31,1.qa Al Duhail SC,1994,3,3,210,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43,620764f4,31.0,MF,3,210,Qatar
Vinicius Júnior,FW,br Brazil,25,1.es Real Madrid,2000,5,5,440,4.9,4,1,5,4,0,0,0,0,0.82,0.2,1.02,0.82,1.02,7111d552,25.0,FW,5,440,Brazil
Elijah Just,MF,nz New Zealand,26,1.sct Motherwell,2000,3,3,264,2.9,3,0,3,3,0,0,1,0,1.02,0.0,1.02,1.02,1.02,0c295d6e,26.0,MF,3,264,New Zealand
Musab Al Juwayr,MFFW,sa Saudi Arabia,22,1.sa Al-Qadsiah,2003,3,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,62592fc1,22.0,MF,2,152,Saudi Arabia
Ayoub El Kaabi,FW,ma Morocco,32,1.gr Olympiacos,1993,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b1bfd1d4,32.0,FW,1,69,Morocco
Ozan Kabak,DF,tr Türkiye,26,1.de Hoffenheim,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2d61d13a,26.0,DF,1,90,Türkiye
Ferdi Kadioglu,DF,tr Türkiye,26,1.eng Brighton,1999,2,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,66c52a77,26.0,DF,2,159,Türkiye
Saša Kalajdžić,FW,at Austria,28,1.at LASK,1997,3,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17,15f24fe7,28.0,FW,1,77,Austria
Daichi Kamada,MF,jp Japan,29,1.eng Crystal Palace,1996,4,4,329,3.7,2,0,2,2,0,0,1,0,0.55,0.0,0.55,0.55,0.55,15b287da,29.0,MF,4,329,Japan
Hossein Kanaanizadegan,DF,ir IR Iran,32,1.ir Persepolis,1994,2,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,24353c25,32.0,DF,2,135,IR Iran
Harry Kane,FW,eng England,32,1.de Bayern Munich,1993,7,7,652,7.2,6,1,7,4,2,2,0,0,0.83,0.14,0.97,0.55,0.69,21a66f6a,32.0,FW,7,652,England
Lee Kang-in,FW,kr Korea Republic,25,1.fr PSG,2001,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,8455ad90,25.0,FW,3,270,Korea Republic
Mohamed Kanno,MF,sa Saudi Arabia,31,1.sa Al-Hilal,1994,3,2,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,74ccf212,31.0,MF,2,225,Saudi Arabia
Steve Kapuadi,DF,cd Congo DR,28,1.pl Widzew Łódź,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3f3c941a,28.0,DF,2,180,Congo DR
Bekhruz Karimov,DF,uz Uzbekistan,18,1.uz FC Surkhon,2007,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,74cdaeba,18.0,DF,2,179,Uzbekistan
Jesper Karlström,MF,se Sweden,30,1.it Udinese,1995,2,2,138,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e0a1f4eb,30.0,MF,2,138,Sweden
Nikola Katić,DF,ba Bosnia–Herz,29,2.de Schalke 04,1996,4,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,35bd124a,29.0,DF,4,317,Bosnia–Herz
Edo Kayembe,MF,cd Congo DR,28,2.eng Watford,1998,3,2,160,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,f99b71de,28.0,MF,2,160,Congo DR
Franck Kessié,MF,ci Côte d'Ivoire,29,1.sa Al-Ahli,1996,4,4,346,3.8,1,0,1,1,0,0,1,0,0.26,0.0,0.26,0.26,0.26,05e19d6a,29.0,MF,4,346,Côte d'Ivoire
Abdullah Al-Khaibari,MF,sa Saudi Arabia,29,1.sa Al-Nassr,1996,3,3,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ab47ae1c,29.0,MF,3,180,Saudi Arabia
Shoja' Khalilzadeh,DF,ir IR Iran,37,1.ir Tractor,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0aed29f1,37.0,DF,3,270,IR Iran
Dostonbek Khamdamov,MF,uz Uzbekistan,29,1.uz Pakhtakor Tashkent FK,1996,2,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d2dd2ffb,29.0,MF,1,103,Uzbekistan
Bilal El Khannouss,MFFW,ma Morocco,22,1.de Stuttgart,2004,6,6,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,f7042636,22.0,MF,6,461,Morocco
Rani Khedira,MF,tn Tunisia,32,1.de Union Berlin,1994,3,2,149,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,59e4b92e,32.0,MF,2,149,Tunisia
Boualem Khoukhi,DF,qa Qatar,35,1.qa Al Sadd,1990,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,0.33,0.33,7be5ad52,35.0,DF,3,270,Qatar
Abdukodir Khusanov,DF,uz Uzbekistan,22,1.eng Manchester City,2004,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,d17ce930,22.0,DF,3,270,Uzbekistan
Joshua Kimmich,DF,de Germany,31,1.de Bayern Munich,1995,4,4,351,3.9,0,2,2,0,0,0,0,0,0.0,0.51,0.51,0.0,0.51,49296448,31.0,DF,4,351,Germany
Gregor Kobel,GK,ch Switzerland,28,1.de Dortmund,1997,6,6,600,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,cd59b9df,28.0,GK,6,600,Switzerland
Orkun Kökçü,MF,tr Türkiye,25,1.tr Beşiktaş,2000,3,2,153,1.7,0,1,1,0,0,0,0,0,0.0,0.59,0.59,0.0,0.59,9bf914b4,25.0,MF,2,153,Türkiye
Sead Kolašinac,DF,ba Bosnia–Herz,32,1.it Atalanta,1993,4,4,337,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27,3935e52e,32.0,DF,4,337,Bosnia–Herz
Ghislain Konan,DF,ci Côte d'Ivoire,30,1.pt Gil Vicente FC,1995,3,3,269,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6b2c894b,30.0,DF,3,269,Côte d'Ivoire
Ibrahima Konaté,DF,fr France,27,1.eng Liverpool,1999,2,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5ed9b537,27.0,DF,1,60,France
Ismaël Koné,MF,ca Canada,23,1.it Sassuolo,2002,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e0220b70,23.0,MF,2,146,Canada
Manu Koné,MF,fr France,25,1.it Roma,2001,5,4,385,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,86574238,25.0,MF,4,385,France
Ezri Konsa,DF,eng England,28,1.eng Aston Villa,1997,8,7,647,7.2,1,0,1,1,0,0,0,0,0.14,0.0,0.14,0.14,0.14,0313a347,28.0,DF,7,647,England
Odilon Kossounou,DF,ci Côte d'Ivoire,25,1.it Atalanta,2001,4,3,272,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1f3afdcb,25.0,DF,3,272,Côte d'Ivoire
Kalidou Koulibaly,DF,sn Senegal,34,1.sa Al-Hilal,1991,2,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,da974c7b,34.0,DF,2,161,Senegal
Jules Koundé,DF,fr France,27,1.es Barcelona,1998,8,7,599,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4d1666ff,27.0,DF,7,599,France
Mateo Kovačić,MF,hr Croatia,32,1.eng Manchester City,1994,4,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,79c0821a,32.0,MF,3,270,Croatia
Matej Kovar,GK,cz Czechia,26,1.nl PSV,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bc67a0e1,26.0,GK,3,270,Czechia
Ladislav Krejčí,DF,cz Czechia,27,1.eng Wolves,1999,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,5b5c2228,27.0,DF,3,270,Czechia
Takefusa Kubo,MF,jp Japan,25,1.es Real Sociedad,2001,1,1,74,0.8,0,1,1,0,0,0,0,0,0.0,1.22,1.22,0.0,1.22,16aa3654,25.0,MF,1,74,Japan
Maxence Lacroix,DF,fr France,26,1.eng Crystal Palace,2000,3,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,277c49ed,26.0,DF,2,241,France
Gustaf Lagerbielke,DF,se Sweden,26,1.pt Braga,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9e39fa2d,26.0,DF,4,360,Sweden
Konrad Laimer,MFDF,at Austria,29,1.de Bayern Munich,1997,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,c1b7847c,29.0,MF,4,360,Austria
Ali Lajami,DF,sa Saudi Arabia,30,1.sa Al-Hilal,1996,3,1,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,46f7ab4f,30.0,DF,1,149,Saudi Arabia
Aymeric Laporte,DF,es Spain,32,1.es Athletic Club,1994,8,8,727,8.1,0,1,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,119b9a8e,32.0,DF,8,727,Spain
Cyle Larin,FW,ca Canada,31,1.es Mallorca,1995,4,2,190,2.1,2,0,2,2,0,0,2,0,0.95,0.0,0.95,0.95,0.95,e7af9060,31.0,FW,2,190,Canada
Richie Laryea,DF,ca Canada,31,1.us Toronto FC,1995,5,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,276fdbe4,31.0,DF,5,429,Canada
Mohanad Lasheen,MF,eg Egypt,30,,1996,4,4,359,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,8c041c7d,30.0,MF,4,359,Egypt
Issa Laye,MFDF,qa Qatar,28,1.qa Al-Arabi,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,c078667a,28.0,MF,3,270,Qatar
Rafael Leão,MF,pt Portugal,27,1.it Milan,1999,5,1,158,1.8,1,1,2,1,0,0,0,0,0.57,0.57,1.14,0.57,1.14,20730eae,27.0,MF,1,158,Portugal
Mathew Leckie,MF,au Australia,35,1.au Melb City,1991,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b93b7882,35.0,MF,1,60,Australia
Jefferson Lerma,MF,co Colombia,31,1.eng Crystal Palace,1994,5,5,410,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9b5ce51a,31.0,MF,5,410,Colombia
Philipp Lienhart,DF,at Austria,29,1.de Freiburg,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,302527b2,29.0,DF,2,180,Austria
